study,param_value,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,3,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,4,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,5,4
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,6,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,7,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,8,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,9,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,10,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,11,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,12,1
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,13,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,14,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,15,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,16,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,17,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,18,0
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,19,2
turk10,20-10,turk10-Control-Inner-Multiple-rep2,1945,filebab6589ee0b6-multiple.svg,12,20,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,1,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,2,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,3,1
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,4,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,5,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,6,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,7,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,8,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,9,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,10,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,11,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,12,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,13,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,14,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,15,2
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,16,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,17,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,18,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,19,1
turk10,20-10,turk10-Control-Inner-Single-rep1,1548,filebab65bda535f-single.svg,13,20,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,1,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,2,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,3,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,4,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,5,2
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,6,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,7,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,8,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,9,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,10,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,11,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,12,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,13,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,14,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,15,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,16,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,17,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,18,0
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,19,1
turk10,20-10,turk10-Control-Inner-Single-rep1,1836,filebab6750e051e-single.svg,9,20,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,1,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,2,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,3,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,4,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,5,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,6,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,7,1
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,8,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,9,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,10,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,11,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,12,1
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,13,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,14,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,15,1
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,16,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,17,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,18,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,19,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1656,filebab64b08e704-single.svg,12,20,5
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,1,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,2,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,3,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,4,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,5,6
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,6,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,7,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,8,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,9,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,10,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,11,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,12,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,13,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,14,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,15,1
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,16,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,17,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,18,0
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,19,1
turk10,20-10,turk10-Control-Inner-Single-rep2,1944,filebab6589ee0b6-single.svg,12,20,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,1,5
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,2,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,3,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,4,3
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,5,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,6,4
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,7,8
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,8,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,9,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,10,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,11,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,12,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,13,1
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,14,7
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,15,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,16,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,17,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,18,5
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,19,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1550,filebab65a97b115-multiple.svg,20,20,0
turk10,20-10,turk10-Control-Outer-Multiple-rep1,1838,filebab66b72309b-multiple.svg,10,1,0
